"","from","to","year"
"1","GLENN1983","FERNALD1985",1985
"2","FERNALD1985","FERNALD1987",1987
"3","FERNALD1987","WERKER1989",1989
"4","WERKER1989","COOPER1990",1990
"5","COOPER1990","PEGG1992",1992
"6","PEGG1992","COOPER1994",1994
"7","PEGG1992","WERKER1994",1994
"8","COOPER1990","TRAINOR1996",1996
"9","COOPER1994","COOPER1997",1997
"10","FERNALD1985","COOPER1997",1997
"11","COOPER1994","HAYASHI2001",2001
"12","COOPER1994","SINGH2002",2002
"13","COOPER1997","NEWMAN2006",2006
"14","HAYASHI2001","NEWMAN2006",2006
"15","SINGH2002","NEWMAN2006",2006
"16","WERKER1994","NEWMAN2006",2006
"17","FERNALD1987","SINGH2009",2009
"18","FERNALD1985","INOUE2011",2011
"19","NEWMAN2006","INOUE2011",2011
"20","PEGG1992","INOUE2011",2011
"21","COOPER1990","SCHACHNER2011",2011
"22","SINGH2002","SCHACHNER2011",2011
"23","NEWMAN2006","ROBERTSON2013",2013
"24","PEGG1992","ROBERTSON2013",2013
"25","FERNALD1985","DROUCKER2013",2013
"26","HAYASHI2001","DROUCKER2013",2013
"27","SCHACHNER2011","DROUCKER2013",2013
"28","DROUCKER2013","SEGAL2015",2015
"29","NEWMAN2006","SEGAL2015",2015
